id,nombre_canonico,tipo,es_clave,categoria,metadata,fecha_creacion,ultima_mencion
1,General Motors,ORG,1,automotriz,,2026-02-03 16:47:06,
2,Ford Motor Company,ORG,1,automotriz,,2026-02-03 16:47:06,
3,Stellantis,ORG,1,automotriz,,2026-02-03 16:47:06,
4,Tesla,ORG,1,automotriz,,2026-02-03 16:47:06,
5,Amazon,ORG,1,tecnologia,,2026-02-03 16:47:06,
6,Walmart,ORG,1,retail,,2026-02-03 16:47:06,
7,BMW,ORG,1,automotriz,,2026-02-03 16:47:06,
8,Toyota,ORG,1,automotriz,,2026-02-03 16:47:06,
9,Nissan,ORG,1,automotriz,,2026-02-03 16:47:06,
10,Honda,ORG,1,automotriz,,2026-02-03 16:47:06,
11,Volkswagen,ORG,1,automotriz,,2026-02-03 16:47:06,
12,Kia,ORG,1,automotriz,,2026-02-03 16:47:06,
13,Hyundai,ORG,1,automotriz,,2026-02-03 16:47:06,
14,Caterpillar,ORG,1,maquinaria,,2026-02-03 16:47:06,
15,John Deere,ORG,1,maquinaria,,2026-02-03 16:47:06,
16,Honeywell,ORG,1,industrial,,2026-02-03 16:47:06,
17,Flores,PER,0,,,2026-02-03 16:47:11,
18,Tan,PER,0,,,2026-02-03 16:47:11,
19,Saltillo,LOC,0,,,2026-02-03 16:47:11,
20,Tor,PER,0,,,2026-02-03 16:47:11,
21,Acuerdo Nacional Maí,ORG,0,,,2026-02-03 16:47:11,
22,##rt,ORG,0,,,2026-02-03 16:47:11,
23,##la,ORG,0,,,2026-02-03 16:47:11,
24,Coahuila,LOC,0,,,2026-02-03 16:47:11,
25,##til,LOC,0,,,2026-02-03 16:47:11,
26,des,ORG,0,,,2026-02-03 16:47:11,
27,Agencia internacional destaca,ORG,0,,,2026-02-03 16:47:11,
28,México,LOC,0,,,2026-02-03 16:47:11,
29,Aduana de Piedras Negras,ORG,0,,,2026-02-03 16:47:11,
30,Navidad y Año Nuevo,LOC,0,,,2026-02-03 16:47:11,
31,IMPI,ORG,0,,,2026-02-03 16:47:11,
32,id,ORG,0,,,2026-02-03 16:47:11,
33,Ramos Arizpe,PER,0,,,2026-02-03 16:47:11,
34,Empleo Temporal y Ola Verde,ORG,0,,,2026-02-03 16:47:11,
35,Caen,ORG,0,,,2026-02-03 16:47:11,
36,In,ORG,0,,,2026-02-03 16:47:11,
37,Trump,PER,0,,,2026-02-03 16:47:11,
38,E,ORG,0,,,2026-02-03 16:47:11,
39,est,ORG,0,,,2026-02-03 16:47:11,
40,Ley Federal del Trabaj,ORG,0,,,2026-02-03 16:47:11,
41,desha,ORG,0,,,2026-02-03 16:47:11,
42,Block de Notas,ORG,0,,,2026-02-03 16:47:11,
43,El p,ORG,0,,,2026-02-03 16:47:11,
