noticia_id,entidad_id,rol,frecuencia,fecha_asignacion
3,17,mencionado,1,2026-02-03 16:47:11
3,18,mencionado,1,2026-02-03 16:47:11
3,19,mencionado,1,2026-02-03 16:47:11
15,20,mencionado,1,2026-02-03 16:47:11
15,21,mencionado,1,2026-02-03 16:47:11
15,22,mencionado,1,2026-02-03 16:47:11
15,23,mencionado,1,2026-02-03 16:47:11
15,24,mencionado,1,2026-02-03 16:47:11
15,25,mencionado,1,2026-02-03 16:47:11
25,26,mencionado,1,2026-02-03 16:47:11
25,27,mencionado,1,2026-02-03 16:47:11
25,28,mencionado,1,2026-02-03 16:47:11
29,29,mencionado,1,2026-02-03 16:47:11
29,30,mencionado,1,2026-02-03 16:47:11
33,31,mencionado,1,2026-02-03 16:47:11
33,32,mencionado,1,2026-02-03 16:47:11
34,33,mencionado,1,2026-02-03 16:47:11
34,34,mencionado,1,2026-02-03 16:47:11
48,35,mencionado,1,2026-02-03 16:47:11
48,36,mencionado,1,2026-02-03 16:47:11
62,37,mencionado,1,2026-02-03 16:47:11
67,38,mencionado,1,2026-02-03 16:47:11
67,39,mencionado,1,2026-02-03 16:47:11
67,40,mencionado,1,2026-02-03 16:47:11
67,28,mencionado,1,2026-02-03 16:47:11
75,41,mencionado,1,2026-02-03 16:47:11
75,42,mencionado,1,2026-02-03 16:47:11
75,43,mencionado,1,2026-02-03 16:47:11
92,44,mencionado,1,2026-02-03 16:47:11
92,45,mencionado,1,2026-02-03 16:47:11
92,46,mencionado,1,2026-02-03 16:47:11
93,47,mencionado,1,2026-02-03 16:47:11
93,48,mencionado,1,2026-02-03 16:47:11
93,49,mencionado,1,2026-02-03 16:47:11
126,50,mencionado,1,2026-02-03 16:47:11
126,51,mencionado,1,2026-02-03 16:47:11
132,52,mencionado,1,2026-02-03 16:47:11
132,28,mencionado,1,2026-02-03 16:47:11
177,38,mencionado,1,2026-02-03 16:47:11
177,53,mencionado,1,2026-02-03 16:47:11
177,54,mencionado,1,2026-02-03 16:47:11
180,55,mencionado,1,2026-02-03 16:47:11
180,56,mencionado,1,2026-02-03 16:47:11
190,28,mencionado,1,2026-02-03 16:47:11
192,57,mencionado,1,2026-02-03 16:47:11
199,58,mencionado,1,2026-02-03 16:47:11
205,59,mencionado,1,2026-02-03 16:47:11
247,60,mencionado,1,2026-02-03 16:47:11
357,61,mencionado,1,2026-02-03 16:47:11
357,62,mencionado,1,2026-02-03 16:47:11
358,63,mencionado,1,2026-02-03 16:47:11
358,64,mencionado,1,2026-02-03 16:47:11
358,65,mencionado,1,2026-02-03 16:47:11
358,66,mencionado,1,2026-02-03 16:47:11
361,67,mencionado,1,2026-02-03 16:47:11
361,68,mencionado,1,2026-02-03 16:47:11
361,69,mencionado,1,2026-02-03 16:47:11
466,70,mencionado,1,2026-02-03 16:47:11
466,71,mencionado,1,2026-02-03 16:47:11
466,72,mencionado,1,2026-02-03 16:47:11
466,73,mencionado,1,2026-02-03 16:47:11
988,74,mencionado,1,2026-02-03 16:47:11
1069,58,mencionado,1,2026-02-03 16:47:11
1070,75,mencionado,1,2026-02-03 16:47:11
1078,76,mencionado,1,2026-02-03 16:47:11
1078,77,mencionado,1,2026-02-03 16:47:11
1086,78,mencionado,1,2026-02-03 16:47:11
1087,56,mencionado,1,2026-02-03 16:47:11
1087,79,mencionado,1,2026-02-03 16:47:11
1087,80,mencionado,1,2026-02-03 16:47:11
1088,48,mencionado,1,2026-02-03 16:47:11
1088,81,mencionado,1,2026-02-03 16:47:11
1104,26,mencionado,1,2026-02-03 16:47:11
1107,82,mencionado,1,2026-02-03 16:47:11
1107,83,mencionado,1,2026-02-03 16:47:11
1111,28,mencionado,1,2026-02-03 16:47:11
1130,56,mencionado,1,2026-02-03 16:47:11
1130,80,mencionado,1,2026-02-03 16:47:11
1146,84,mencionado,1,2026-02-03 16:47:11
1146,85,mencionado,1,2026-02-03 16:47:11
1146,28,mencionado,1,2026-02-03 16:47:11
1152,86,mencionado,1,2026-02-03 16:47:11
1160,87,mencionado,1,2026-02-03 16:47:11
1196,88,mencionado,1,2026-02-03 16:47:11
1202,89,mencionado,1,2026-02-03 16:47:11
1205,48,mencionado,1,2026-02-03 16:47:11
1205,90,mencionado,1,2026-02-03 16:47:11
1443,91,mencionado,1,2026-02-03 16:47:11
1443,92,mencionado,1,2026-02-03 16:47:11
1444,93,mencionado,1,2026-02-03 16:47:11
1444,94,mencionado,1,2026-02-03 16:47:11
1447,95,mencionado,1,2026-02-03 16:47:11
1447,48,mencionado,1,2026-02-03 16:47:11
1447,96,mencionado,1,2026-02-03 16:47:11
1462,97,mencionado,1,2026-02-03 16:47:11
1462,98,mencionado,1,2026-02-03 16:47:11
1523,99,mencionado,1,2026-02-03 16:47:11
1523,100,mencionado,1,2026-02-03 16:47:11
1523,101,mencionado,1,2026-02-03 16:47:11
1529,102,mencionado,1,2026-02-03 16:47:11
1529,103,mencionado,1,2026-02-03 16:47:11
1529,104,mencionado,1,2026-02-03 16:47:11
1529,105,mencionado,1,2026-02-03 16:47:11
1529,106,mencionado,1,2026-02-03 16:47:11
1529,107,mencionado,1,2026-02-03 16:47:11
1530,108,mencionado,1,2026-02-03 16:47:11
1530,109,mencionado,1,2026-02-03 16:47:11
1531,110,mencionado,1,2026-02-03 16:47:11
1531,111,mencionado,1,2026-02-03 16:47:11
1554,112,mencionado,1,2026-02-03 16:47:11
1555,113,mencionado,1,2026-02-03 16:47:11
1555,114,mencionado,1,2026-02-03 16:47:11
