noticia_id,tema_id,score,fecha_asignacion
10751,2,1,2026-03-06 20:38:25
10764,11,1,2026-03-06 20:38:26
10767,2,1,2026-03-06 20:38:26
10772,1,1,2026-03-06 20:38:26
10775,2,1,2026-03-06 20:38:26
10775,12,1,2026-03-06 20:38:26
10777,11,1,2026-03-06 20:38:26
10781,2,1,2026-03-06 20:38:26
10792,12,1,2026-03-06 20:38:26
10794,11,1,2026-03-06 20:38:26
10803,2,1,2026-03-06 20:38:27
10805,3,1,2026-03-06 20:38:27
10810,12,1,2026-03-06 20:38:27
10822,12,1,2026-03-06 20:38:27
10832,12,1,2026-03-06 20:38:27
10836,1,1,2026-03-06 20:38:27
10837,12,1,2026-03-06 20:38:27
10839,11,1,2026-03-06 20:38:27
10840,10,1,2026-03-06 20:38:27
10843,12,1,2026-03-06 20:38:27
10845,12,1,2026-03-06 20:38:27
10848,1,1,2026-03-06 20:38:27
10856,1,1,2026-03-06 20:38:27
10856,2,1,2026-03-06 20:38:27
10858,1,1,2026-03-06 20:38:27
10858,12,1,2026-03-06 20:38:27
10862,12,1,2026-03-06 20:38:28
10863,2,1,2026-03-06 20:38:28
10865,1,1,2026-03-06 20:38:28
10865,12,1,2026-03-06 20:38:28
10869,2,1,2026-03-06 20:38:28
10878,4,1,2026-03-06 20:38:28
10897,12,1,2026-03-06 20:38:28
10898,2,1,2026-03-06 20:38:28
10908,1,1,2026-03-06 20:38:29
10922,12,1,2026-03-06 20:38:29
10923,4,1,2026-03-06 20:38:29
10923,11,1,2026-03-06 20:38:29
10923,12,1,2026-03-06 20:38:29
10924,12,1,2026-03-06 20:38:29
10928,2,1,2026-03-06 20:38:29
10933,1,1,2026-03-06 20:38:29
10933,11,1,2026-03-06 20:38:29
10959,11,1,2026-03-06 20:38:29
10978,4,1,2026-03-06 20:38:30
10986,12,1,2026-03-06 20:38:30
11085,12,1,2026-03-06 20:38:30
11088,2,1,2026-03-06 20:38:30
11462,1,1,2026-03-06 20:38:30
11462,2,1,2026-03-06 20:38:30
11465,1,1,2026-03-06 20:38:30
11468,1,1,2026-03-06 20:38:30
11551,4,1,2026-03-06 20:38:30
11551,12,1,2026-03-06 20:38:30
11554,2,1,2026-03-06 20:38:30
11561,2,1,2026-03-06 20:38:30
11684,2,1,2026-03-06 20:38:31
11701,2,1,2026-03-06 20:38:31
11708,11,1,2026-03-06 20:38:31
11941,12,1,2026-03-06 20:38:31
12038,1,1,2026-03-06 20:38:31
12745,1,1,2026-03-06 20:38:31
12745,12,1,2026-03-06 20:38:31
13130,1,1,2026-03-06 20:38:32
13130,11,1,2026-03-06 20:38:32
13135,2,1,2026-03-06 20:38:32
13146,2,1,2026-03-06 20:38:32
13154,12,1,2026-03-06 20:38:32
13159,12,1,2026-03-06 20:38:32
13167,2,1,2026-03-06 20:38:32
13176,1,1,2026-03-06 20:38:32
13178,12,1,2026-03-06 20:38:32
13181,2,1,2026-03-06 20:38:32
13193,12,1,2026-03-06 20:38:32
13195,1,1,2026-03-06 20:38:32
13206,12,1,2026-03-06 20:38:33
13212,1,1,2026-03-06 20:38:33
13227,2,1,2026-03-06 20:38:33
13232,12,1,2026-03-06 20:38:33
13234,12,1,2026-03-06 20:38:33
13250,11,1,2026-03-06 20:38:33
13252,1,1,2026-03-06 20:38:33
13266,11,1,2026-03-06 20:38:33
13267,1,1,2026-03-06 20:38:33
13271,1,1,2026-03-06 20:38:33
13271,12,1,2026-03-06 20:38:33
13280,1,1,2026-03-06 20:38:34
13283,1,1,2026-03-06 20:38:34
13287,1,1,2026-03-06 20:38:34
13287,12,1,2026-03-06 20:38:34
13289,1,1,2026-03-06 20:38:34
13302,1,1,2026-03-06 20:38:34
13316,12,1,2026-03-06 20:38:34
13319,2,1,2026-03-06 20:38:34
13341,11,1,2026-03-06 20:38:34
13344,1,1,2026-03-06 20:38:34
13344,11,1,2026-03-06 20:38:34
13350,12,1,2026-03-06 20:38:34
13352,1,1,2026-03-06 20:38:34
13352,12,1,2026-03-06 20:38:34
13361,11,1,2026-03-06 20:38:34
13365,1,1,2026-03-06 20:38:35
13365,3,1,2026-03-06 20:38:35
13365,11,1,2026-03-06 20:38:35
13365,12,1,2026-03-06 20:38:35
13369,2,1,2026-03-06 20:38:35
13369,4,1,2026-03-06 20:38:35
